avg_fruit,avg_decayfruit,avg_enemyfruit,rollout/,ep_len_mean,ep_rew_mean,time/,fps,iterations,time_elapsed,total_timesteps,train/,approx_kl,clip_fraction,clip_range,entropy_loss,explained_variance,learning_rate,loss,n_updates,policy_gradient_loss,value_loss
0,0,0,,23.8,-10.3,,69,1,29,2048,,,,,,,,,,,
0,0,0,,22.7,-10.8,,68,2,59,4096,,0.011581046,0.0788,0.2,-1.38,0.0143,0.0003,4.95,10.0,-0.00908,15.5
0,0,0,,20.9,-10.1,,67,3,90,6144,,0.011366178,0.0876,0.2,-1.38,-0.0102,0.0003,5.33,20.0,-0.0104,11.0
0,0,0,,22.5,-11.3,,67,4,120,8192,,0.009387179,0.0889,0.2,-1.37,-0.0163,0.0003,3.13,30.0,-0.00935,6.75
0,0,0,,28.2,-10.6,,70,5,144,10240,,0.009987777,0.0762,0.2,-1.36,-0.0261,0.0003,2.1,40.0,-0.0132,7.22
0,0,0,,31.8,-10.4,,72,6,170,12288,,0.008137162,0.0799,0.2,-1.35,-0.0676,0.0003,2.45,50.0,-0.00886,5.52
0,0,0,,36.3,-9.61,,74,7,192,14336,,0.010710763,0.109,0.2,-1.32,-0.00365,0.0003,1.88,60.0,-0.0158,3.54
0,0,0,,44.6,-8.46,,77,8,212,16384,,0.012398372,0.147,0.2,-1.3,0.0189,0.0003,1.35,70.0,-0.014,4.55
0,0,0,,49.2,-7.46,,79,9,231,18432,,0.009594459,0.0841,0.2,-1.29,0.0321,0.0003,4.72,80.0,-0.00763,8.13
0,0,3,,48.5,-7.69,,83,10,244,20480,,0.006551915,0.0308,0.2,-1.29,0.00321,0.0003,7.73,90.0,-0.00511,9.9
1,0,0,,68.2,-8.41,,85,11,262,22528,,0.009423073,0.0901,0.2,-1.28,0.0321,0.0003,0.243,100.0,-0.00922,0.776
2,0,1,,76.5,-8.26,,88,12,277,24576,,0.008583383,0.0655,0.2,-1.25,0.0306,0.0003,1.63,110.0,-0.00766,3.88
0,0,3,,78.7,-8.33,,92,13,287,26624,,0.009321222,0.108,0.2,-1.23,0.0685,0.0003,1.24,120.0,-0.00883,4.0
0,0,0,,101.0,-9.67,,93,14,305,28672,,0.010065984,0.157,0.2,-1.22,0.652,0.0003,0.0643,130.0,-0.0142,0.129
0,0,0,,95.3,-9.75,,95,15,320,30720,,0.008521775,0.0859,0.2,-1.2,-0.0225,0.0003,1.64,140.0,-0.0102,4.28
0,0,0,,100.0,-9.05,,97,16,336,32768,,0.008495435,0.0806,0.2,-1.15,0.0998,0.0003,1.48,150.0,-0.0121,1.98
0,0,2,,98.3,-7.9,,98,17,353,34816,,0.006816825,0.0639,0.2,-1.14,0.00642,0.0003,7.69,160.0,-0.00783,8.33
0,0,2,,86.1,-7.47,,100,18,366,36864,,0.0064082546,0.043,0.2,-1.12,-0.176,0.0003,11.2,170.0,-0.00527,12.8
0,0,2,,98.6,-7.28,,102,19,380,38912,,0.008762085,0.0776,0.2,-1.1,0.00661,0.0003,0.545,180.0,-0.00863,2.37
0,0,1,,117.0,-7.05,,104,20,390,40960,,0.012593865,0.102,0.2,-1.07,0.016,0.0003,3.47,190.0,-0.00976,4.1
0,0,2,,122.0,-6.29,,106,21,403,43008,,0.0097772,0.0993,0.2,-1.04,0.0345,0.0003,0.307,200.0,-0.00544,2.45
1,0,3,,130.0,-7.01,,109,22,412,45056,,0.0095782885,0.121,0.2,-0.994,-0.0252,0.0003,2.33,210.0,-0.00761,5.97
1,0,4,,130.0,-7.01,,111,23,421,47104,,0.012681778,0.132,0.2,-1.03,0.14,0.0003,0.375,220.0,-0.00973,1.53
0,0,0,,180.0,-7.59,,112,24,435,49152,,0.013124546,0.17,0.2,-1.03,-1.59,0.0003,-0.0148,230.0,-0.00969,0.0271
0,0,1,,184.0,-8.02,,113,25,449,51200,,0.012152242,0.104,0.2,-1.02,0.156,0.0003,0.389,240.0,-0.00607,1.86
0,0,2,,191.0,-7.63,,115,26,460,53248,,0.0070182225,0.0601,0.2,-0.995,-0.0115,0.0003,3.02,250.0,-0.009,5.82
0,1,0,,215.0,-8.27,,117,27,471,55296,,0.0048077637,0.0309,0.2,-0.993,0.0122,0.0003,5.54,260.0,-0.00343,6.27
0,2,3,,224.0,-8.81,,118,28,482,57344,,0.0073813964,0.0892,0.2,-0.983,0.18,0.0003,1.44,270.0,-0.00783,4.77
0,0,1,,232.0,-8.33,,120,29,494,59392,,0.010757873,0.138,0.2,-0.97,0.356,0.0003,1.87,280.0,-0.0115,4.96
0,0,0,,251.0,-8.92,,121,30,505,61440,,0.009539308,0.121,0.2,-0.95,0.262,0.0003,1.88,290.0,-0.00944,3.35
