rollout/,ep_len_mean,ep_rew_mean,time/,fps,iterations,time_elapsed,total_timesteps,train/,approx_kl,clip_fraction,clip_range,entropy_loss,explained_variance,learning_rate,loss,n_updates,policy_gradient_loss,value_loss
,193.0,-0.3,,150,46,627,94208,,0.0055566574,0.0458,0.2,-0.808,0.324,0.0003,4.68,450.0,-0.00323,7.65
,186.0,0.117,,150,47,639,96256,,0.0061151446,0.0615,0.2,-0.795,0.261,0.0003,4.79,460.0,-0.00424,6.87
,172.0,-0.181,,150,48,652,98304,,0.0060011055,0.071,0.2,-0.75,0.356,0.0003,1.88,470.0,-0.00451,6.41
,169.0,0.118,,151,49,664,100352,,0.007907004,0.0875,0.2,-0.759,0.204,0.0003,2.72,480.0,-0.00542,8.57
,151.0,-0.303,,151,50,676,102400,,0.007853053,0.0792,0.2,-0.759,0.351,0.0003,2.99,490.0,-0.00461,6.38
,144.0,-0.353,,151,51,689,104448,,0.00810455,0.0972,0.2,-0.737,0.288,0.0003,3.3,500.0,-0.0076,7.55
,138.0,-0.589,,151,52,702,106496,,0.0071384264,0.0937,0.2,-0.756,0.138,0.0003,5.11,510.0,-0.00804,9.78
,143.0,-0.281,,151,53,715,108544,,0.00889805,0.0782,0.2,-0.743,0.234,0.0003,2.33,520.0,-0.00397,7.02
,138.0,-0.25,,151,54,729,110592,,0.005307799,0.0571,0.2,-0.706,0.374,0.0003,4.11,530.0,-0.00454,6.44
,136.0,0.856,,151,55,742,112640,,0.0073383264,0.0763,0.2,-0.715,0.12,0.0003,5.99,540.0,-0.00745,10.2
,131.0,0.481,,152,56,754,114688,,0.006091986,0.0615,0.2,-0.682,0.162,0.0003,7.55,550.0,-0.00631,10.6
,126.0,0.18,,151,57,768,116736,,0.0076107923,0.0822,0.2,-0.706,0.122,0.0003,5.13,560.0,-0.0054,8.43
,119.0,0.117,,151,58,783,118784,,0.0038214093,0.0425,0.2,-0.699,0.182,0.0003,3.3,570.0,-0.00263,8.58
,111.0,0.177,,151,59,797,120832,,0.007309179,0.0907,0.2,-0.661,0.184,0.0003,4.14,580.0,-0.00828,8.27
,102.0,-0.756,,151,60,811,122880,,0.0075448845,0.0854,0.2,-0.676,0.307,0.0003,4.6,590.0,-0.00702,9.45
,104.0,-0.198,,151,61,825,124928,,0.005948186,0.0588,0.2,-0.684,0.15,0.0003,5.78,600.0,-0.00462,10.9
,107.0,0.987,,151,62,838,126976,,0.0075144535,0.0842,0.2,-0.674,0.207,0.0003,2.83,610.0,-0.00564,8.53
,100.0,0.102,,151,63,854,129024,,0.0051631443,0.0808,0.2,-0.647,0.16,0.0003,3.45,620.0,-0.00552,10.9
,101.0,0.296,,151,64,867,131072,,0.006356431,0.0667,0.2,-0.668,0.0681,0.0003,7.19,630.0,-0.00474,11.6
,105.0,0.209,,150,65,882,133120,,0.007827846,0.0975,0.2,-0.632,0.0558,0.0003,4.84,640.0,-0.00552,10.8
,101.0,0.377,,150,66,895,135168,,0.0077665765,0.0877,0.2,-0.609,0.0556,0.0003,3.5,650.0,-0.0055,10.2
,103.0,0.293,,151,67,908,137216,,0.004676801,0.058,0.2,-0.604,0.175,0.0003,5.22,660.0,-0.00373,9.29
,110.0,2.14,,151,68,921,139264,,0.0050736936,0.0455,0.2,-0.632,0.0872,0.0003,5.64,670.0,-0.00327,10.7
,114.0,2.92,,151,69,935,141312,,0.0056425333,0.0622,0.2,-0.568,0.00342,0.0003,6.96,680.0,-0.00473,12.8
,116.0,4.1,,151,70,948,143360,,0.0058074063,0.064,0.2,-0.593,0.0861,0.0003,5.75,690.0,-0.00343,11.4
,113.0,3.99,,150,71,963,145408,,0.0048578237,0.0514,0.2,-0.556,0.0897,0.0003,5.13,700.0,-0.00396,10.9
,112.0,4.53,,150,72,976,147456,,0.005110394,0.0752,0.2,-0.59,0.165,0.0003,7.51,710.0,-0.00493,13.4
,112.0,4.25,,150,73,990,149504,,0.004490397,0.0667,0.2,-0.6,0.272,0.0003,5.69,720.0,-0.00307,10.4
,115.0,4.06,,150,74,1004,151552,,0.008350496,0.0821,0.2,-0.568,0.161,0.0003,5.77,730.0,-0.00682,12.6
,108.0,2.84,,150,75,1019,153600,,0.0064315624,0.0881,0.2,-0.596,0.204,0.0003,4.82,740.0,-0.00496,11.1
,113.0,4.17,,150,76,1032,155648,,0.0051493887,0.0635,0.2,-0.567,0.0528,0.0003,9.55,750.0,-0.00407,13.2
,118.0,4.93,,150,77,1045,157696,,0.006722795,0.0703,0.2,-0.542,0.166,0.0003,4.92,760.0,-0.00581,11.5
,125.0,6.06,,150,78,1058,159744,,0.006910622,0.0766,0.2,-0.61,0.163,0.0003,6.31,770.0,-0.00574,10.8
,126.0,6.62,,150,79,1071,161792,,0.006113707,0.0686,0.2,-0.589,0.0563,0.0003,7.96,780.0,-0.00414,14.2
,123.0,7.03,,150,80,1085,163840,,0.0073093316,0.0799,0.2,-0.585,0.211,0.0003,6.18,790.0,-0.00602,11.5
,131.0,8.36,,150,81,1098,165888,,0.0056265863,0.0621,0.2,-0.555,0.184,0.0003,7.29,800.0,-0.00267,13.9
,132.0,7.97,,151,82,1112,167936,,0.006044117,0.0538,0.2,-0.572,0.0693,0.0003,6.88,810.0,-0.00312,14.5
,124.0,7.13,,150,83,1126,169984,,0.0050946428,0.0664,0.2,-0.559,0.189,0.0003,6.81,820.0,-0.00351,14.4
,119.0,7.02,,150,84,1139,172032,,0.006075043,0.0625,0.2,-0.524,0.29,0.0003,5.15,830.0,-0.00551,14.1
,114.0,6.75,,150,85,1153,174080,,0.0066180583,0.0694,0.2,-0.491,0.177,0.0003,9.04,840.0,-0.00466,15.1
,105.0,5.5,,150,86,1168,176128,,0.0060717287,0.0641,0.2,-0.483,0.194,0.0003,6.32,850.0,-0.00311,13.2
,99.9,4.96,,150,87,1183,178176,,0.005901914,0.0651,0.2,-0.484,0.26,0.0003,6.54,860.0,-0.0037,16.2
,105.0,5.96,,150,88,1195,180224,,0.0053397133,0.0697,0.2,-0.519,0.195,0.0003,5.95,870.0,-0.00554,14.7
,109.0,6.61,,150,89,1208,182272,,0.0038409522,0.048,0.2,-0.504,0.175,0.0003,4.31,880.0,-0.000195,11.4
,110.0,6.84,,150,90,1222,184320,,0.0035668267,0.0451,0.2,-0.486,0.144,0.0003,9.87,890.0,-0.00225,13.6
