avg_fruit,avg_decayfruit,avg_enemyfruit,rollout/,ep_len_mean,ep_rew_mean,time/,fps,iterations,time_elapsed,total_timesteps,train/,approx_kl,clip_fraction,clip_range,entropy_loss,explained_variance,learning_rate,loss,n_updates,policy_gradient_loss,value_loss
0,6,1,,160,195,,162,1,12,502048,,,,,,,,,,,
1,7,3,,150,184,,149,2,27,504096,,0.008907906,0.0704,0.2,-0.288,0.18,0.0003,350.0,2450.0,-0.00805,776
0,3,1,,147,186,,144,3,42,506144,,0.0053005554,0.0618,0.2,-0.294,0.166,0.0003,248.0,2460.0,-0.00247,683
0,1,0,,152,195,,147,4,55,508192,,0.0067061773,0.0676,0.2,-0.276,0.261,0.0003,359.0,2470.0,-0.00349,866
0,8,1,,153,198,,148,5,69,510240,,0.009336698,0.0691,0.2,-0.29,0.195,0.0003,210.0,2480.0,-0.000211,584
0,1,0,,149,211,,148,6,82,512288,,0.0062559457,0.0627,0.2,-0.276,0.219,0.0003,244.0,2490.0,-0.0013,705
0,1,0,,147,207,,145,7,98,514336,,0.0068616793,0.0604,0.2,-0.292,0.309,0.0003,706.0,2500.0,-0.00295,972
1,2,4,,139,199,,145,8,112,516384,,0.0043467716,0.058,0.2,-0.301,0.157,0.0003,326.0,2510.0,-0.00184,891
0,1,0,,143,203,,144,9,127,518432,,0.00635444,0.0586,0.2,-0.278,0.2,0.0003,512.0,2520.0,-0.0036,880
0,10,3,,151,209,,145,10,140,520480,,0.010506533,0.0662,0.2,-0.277,0.246,0.0003,455.0,2530.0,-0.00218,879
0,0,1,,160,222,,145,11,154,522528,,0.008744938,0.0722,0.2,-0.288,0.202,0.0003,246.0,2540.0,-0.00109,628
0,11,1,,158,212,,147,12,166,524576,,0.005182637,0.0585,0.2,-0.264,0.246,0.0003,391.0,2550.0,-0.00427,694
0,4,0,,161,220,,146,13,181,526624,,0.0071372394,0.0635,0.2,-0.275,0.212,0.0003,230.0,2560.0,-0.000789,683
0,9,3,,159,212,,146,14,195,528672,,0.006490033,0.0608,0.2,-0.285,0.176,0.0003,233.0,2570.0,-0.000578,656
0,3,3,,163,217,,146,15,209,530720,,0.0059168143,0.0617,0.2,-0.281,0.096,0.0003,238.0,2580.0,-0.00353,694
0,3,0,,170,207,,147,16,222,532768,,0.0112585835,0.09,0.2,-0.299,0.159,0.0003,291.0,2590.0,-0.00205,797
0,6,2,,172,212,,147,17,235,534816,,0.007860084,0.0553,0.2,-0.264,0.158,0.0003,358.0,2600.0,-0.00157,690
0,3,1,,166,210,,146,18,251,536864,,0.0077358754,0.0695,0.2,-0.325,0.24,0.0003,243.0,2610.0,-0.00189,781
0,5,2,,153,193,,146,19,265,538912,,0.009066717,0.0799,0.2,-0.292,0.235,0.0003,286.0,2620.0,-0.00479,769
1,12,1,,160,197,,146,20,279,540960,,0.010714481,0.0789,0.2,-0.3,0.316,0.0003,262.0,2630.0,-0.00204,593
0,4,1,,162,205,,146,21,293,543008,,0.0066679856,0.0699,0.2,-0.31,0.274,0.0003,357.0,2640.0,-0.00341,744
0,0,0,,155,196,,146,22,308,545056,,0.009955924,0.0852,0.2,-0.314,0.254,0.0003,267.0,2650.0,-0.00219,764
0,6,2,,158,204,,145,23,322,547104,,0.0085113095,0.0698,0.2,-0.297,0.195,0.0003,185.0,2660.0,-0.0015,614
0,5,0,,144,199,,145,24,337,549152,,0.006299234,0.051,0.2,-0.301,0.162,0.0003,465.0,2670.0,-0.00414,880
0,0,0,,146,201,,145,25,352,551200,,0.006093745,0.0671,0.2,-0.294,0.186,0.0003,531.0,2680.0,-0.00314,840
0,0,0,,148,209,,145,26,366,553248,,0.0075301304,0.0728,0.2,-0.293,0.267,0.0003,433.0,2690.0,-0.00236,739
0,1,0,,141,207,,145,27,380,555296,,0.008844582,0.0686,0.2,-0.317,0.31,0.0003,324.0,2700.0,0.000197,874
0,6,0,,145,205,,145,28,393,557344,,0.0054459707,0.053,0.2,-0.273,0.177,0.0003,274.0,2710.0,-0.0026,744
0,1,0,,146,210,,145,29,407,559392,,0.0075364453,0.0746,0.2,-0.288,0.278,0.0003,294.0,2720.0,-0.00159,614
0,0,1,,148,216,,145,30,423,561440,,0.007167201,0.0588,0.2,-0.298,0.238,0.0003,306.0,2730.0,-0.00279,928
1,0,2,,155,221,,144,31,437,563488,,0.005917258,0.0672,0.2,-0.296,0.267,0.0003,251.0,2740.0,-0.00229,791
0,2,1,,149,211,,144,32,452,565536,,0.007324561,0.0687,0.2,-0.289,0.253,0.0003,510.0,2750.0,-0.00303,751
0,0,0,,150,219,,144,33,466,567584,,0.007718809,0.0693,0.2,-0.277,0.238,0.0003,270.0,2760.0,-0.00146,777
0,4,0,,144,208,,144,34,481,569632,,0.012485604,0.0655,0.2,-0.308,0.302,0.0003,391.0,2770.0,-0.00135,925
0,2,0,,140,203,,144,35,495,571680,,0.00834085,0.0732,0.2,-0.3,0.328,0.0003,482.0,2780.0,-0.00219,997
0,0,1,,138,203,,144,36,510,573728,,0.0058234837,0.0565,0.2,-0.293,0.302,0.0003,286.0,2790.0,-0.00269,808
0,3,2,,138,198,,144,37,524,575776,,0.007540037,0.0595,0.2,-0.304,0.214,0.0003,454.0,2800.0,4.91e-05,1020.0
1,3,0,,140,198,,144,38,537,577824,,0.006237306,0.0725,0.2,-0.305,0.261,0.0003,479.0,2810.0,-0.00171,794
0,1,0,,148,210,,144,39,551,579872,,0.00773252,0.0812,0.2,-0.294,0.129,0.0003,262.0,2820.0,-0.00247,591
0,3,4,,149,212,,144,40,566,581920,,0.006765985,0.0772,0.2,-0.295,0.247,0.0003,190.0,2830.0,-0.00381,678
0,0,0,,152,201,,144,41,579,583968,,0.0066209105,0.0553,0.2,-0.293,0.264,0.0003,491.0,2840.0,-0.00211,1120.0
0,6,0,,159,218,,144,42,593,586016,,0.0054592025,0.07,0.2,-0.284,0.177,0.0003,242.0,2850.0,-0.00151,635
0,5,0,,154,225,,144,43,608,588064,,0.0050545232,0.0601,0.2,-0.293,0.187,0.0003,402.0,2860.0,-0.00272,1060.0
1,1,0,,155,224,,144,44,622,590112,,0.0053018415,0.0556,0.2,-0.278,0.182,0.0003,300.0,2870.0,-0.00207,942
0,0,0,,158,230,,144,45,636,592160,,0.012739221,0.0771,0.2,-0.288,0.434,0.0003,338.0,2880.0,-0.000979,711
0,0,0,,152,222,,144,46,651,594208,,0.007890947,0.0659,0.2,-0.293,0.308,0.0003,326.0,2890.0,-0.00248,876
0,10,1,,153,225,,144,47,664,596256,,0.0091743665,0.0748,0.2,-0.284,0.229,0.0003,386.0,2900.0,-0.00417,855
0,8,3,,153,222,,144,48,679,598304,,0.0074990597,0.0887,0.2,-0.298,0.348,0.0003,407.0,2910.0,-0.00123,677
1,0,0,,150,220,,144,49,693,600352,,0.005726114,0.0584,0.2,-0.303,0.169,0.0003,716.0,2920.0,-0.00311,1040.0
0,8,1,,153,218,,144,50,707,602400,,0.006494886,0.0686,0.2,-0.278,0.316,0.0003,308.0,2930.0,-0.00174,928
0,0,0,,159,217,,144,51,722,604448,,0.010563436,0.0676,0.2,-0.278,0.238,0.0003,346.0,2940.0,-0.00572,727
0,1,0,,149,198,,144,52,737,606496,,0.008612191,0.0663,0.2,-0.272,0.292,0.0003,243.0,2950.0,-0.0017,601
