rollout/,ep_len_mean,ep_rew_mean,exploration_rate,time/,episodes,fps,time_elapsed,total_timesteps,train/,learning_rate,loss,n_updates,avg_fruit,avg_decayfruit,avg_enemyfruit
,10.0,-12.1,1.0,,4,28,1,40,,,,,,,
,10.1,-12.1,0.999,,8,33,2,81,,,,,,,
,12.7,-12.1,0.999,,12,42,3,152,,,,,,,
,20.4,-12.2,0.997,,16,66,4,327,,,,,,,
,19.8,-12.2,0.996,,20,65,6,395,,,,,,,
,25.0,-12.2,0.994,,24,80,7,599,,,,,,,
,26.4,-13.7,0.993,,28,84,8,738,,,,,,,
,25.6,-13.5,0.992,,32,82,9,819,,,,,,,
,23.6,-13.9,0.992,,36,76,11,849,,,,,,,
,24.0,-13.7,0.991,,40,77,12,960,,,,,,,
,24.7,-13.6,0.989,,44,79,13,1088,,,,,,,
,23.4,-13.1,0.989,,48,76,14,1124,,,,,,,
,24.0,-13.0,0.988,,52,77,16,1248,,,,,,,
,23.1,-13.3,0.987,,56,75,17,1291,,,,,,,
,22.4,-13.2,0.987,,60,73,18,1347,,,,,,,
,22.4,-13.1,0.986,,64,73,19,1434,,,,,,,
,22.4,-12.8,0.985,,68,73,20,1520,,,,,,,
,22.2,-12.5,0.984,,72,73,21,1598,,,,,,,
,23.0,-13.0,0.983,,76,75,23,1750,,,,,,,
,22.8,-13.0,0.982,,80,75,24,1822,,,,,,,
,22.3,-13.2,0.982,,84,73,25,1870,,,,,,,
,21.9,-13.1,0.981,,88,72,26,1923,,,,,,,
,21.6,-13.1,0.981,,92,72,27,1987,,,,,,,
,21.9,-13.0,0.979,,96,72,29,2106,,0.0005,1.08,26.0,,,
,22.0,-12.8,0.978,,100,71,30,2198,,0.0005,0.529,49.0,,,
,22.3,-12.8,0.978,,104,71,31,2273,,0.0005,0.532,68.0,,,
,22.8,-12.6,0.977,,108,71,33,2360,,0.0005,0.448,89.0,,,
,22.6,-12.4,0.976,,112,70,34,2410,,0.0005,0.684,102.0,,,
,21.5,-12.4,0.976,,116,69,35,2481,,0.0005,0.777,120.0,,,
,22.1,-12.4,0.974,,120,70,36,2607,,0.0005,0.677,151.0,,,
,21.6,-12.4,0.973,,124,71,38,2762,,0.0005,0.594,190.0,,,
,20.9,-12.0,0.972,,128,71,39,2832,,0.0005,0.515,207.0,,,
,20.5,-11.8,0.972,,132,70,40,2869,,0.0005,0.842,217.0,,,
,21.3,-11.8,0.971,,136,71,41,2978,,0.0005,0.666,244.0,,,
,22.1,-11.8,0.969,,140,73,43,3174,,0.0005,1.04,293.0,,,
,21.4,-11.8,0.968,,144,72,44,3223,,0.0005,0.905,305.0,,,
,21.6,-12.0,0.968,,148,71,45,3282,,0.0005,0.723,320.0,,,
,20.9,-12.0,0.967,,152,71,46,3342,,0.0005,0.518,335.0,,,
,21.8,-11.8,0.966,,156,72,48,3475,,0.0005,0.494,368.0,,,
,22.2,-11.8,0.965,,160,72,49,3566,,0.0005,0.639,391.0,,,
,22.2,-11.8,0.964,,164,72,50,3656,,0.0005,0.646,413.0,,,
,22.3,-12.0,0.963,,168,72,51,3753,,0.0005,0.35,438.0,,,
,22.4,-12.2,0.962,,172,72,53,3839,,0.0005,0.296,459.0,,,
,21.8,-11.8,0.961,,176,72,54,3934,,0.0005,0.534,483.0,,,
,23.0,-12.0,0.96,,180,73,55,4120,,0.0005,0.345,529.0,,,
,23.0,-11.8,0.959,,184,73,56,4168,,0.0005,0.66,541.0,,,
,23.0,-11.8,0.959,,188,72,57,4222,,0.0005,0.263,555.0,,,
,22.7,-11.4,0.958,,192,72,58,4253,,0.0005,0.355,563.0,,,
,21.8,-11.4,0.958,,196,71,60,4282,,0.0005,0.443,570.0,,,
,22.3,-11.4,0.957,,200,72,61,4428,,0.0005,0.25,606.0,,,
,22.6,-11.4,0.956,,204,72,62,4532,,0.0005,0.247,632.0,,,
,22.9,-11.6,0.954,,208,72,64,4650,,0.0005,0.711,662.0,,,
,23.3,-11.8,0.954,,212,72,65,4741,,0.0005,0.698,685.0,,,
,23.6,-11.6,0.953,,216,72,66,4840,,0.0005,0.281,709.0,,,
,23.2,-11.6,0.952,,220,72,67,4924,,0.0005,0.466,730.0,,,
,22.8,-11.6,0.951,,224,72,69,5042,,0.0005,0.809,760.0,,,
,22.7,-11.4,0.95,,228,72,70,5098,,0.0005,0.752,774.0,,,
,22.6,-11.6,0.95,,232,71,71,5127,,0.0005,0.896,781.0,,,
,22.0,-11.4,0.949,,236,71,72,5174,,0.0005,0.288,793.0,,,
,20.3,-11.4,0.949,,240,70,73,5204,,0.0005,0.825,800.0,,,
,21.2,-11.6,0.948,,244,71,75,5341,,0.0005,0.696,835.0,,,
,21.3,-11.6,0.947,,248,70,76,5411,,0.0005,0.798,852.0,,,
,21.6,-11.2,0.946,,252,70,77,5500,,0.0005,0.37,874.0,,,
,21.0,-11.4,0.945,,256,70,78,5576,,0.0005,0.547,893.0,,,
,20.7,-11.0,0.945,,260,70,80,5635,,0.0005,0.204,908.0,,,
,21.3,-10.8,0.943,,264,70,81,5789,,0.0005,0.272,947.0,,,
,20.6,-10.8,0.943,,268,70,82,5811,,0.0005,0.415,952.0,,,
,21.1,-10.8,0.942,,272,70,84,5954,,0.0005,0.553,988.0,,,
,21.0,-10.8,0.941,,276,70,85,6036,,0.0005,0.546,1008.0,,,
,20.5,-10.4,0.94,,280,71,86,6167,,0.0005,0.319,1041.0,,,
,20.4,-10.4,0.939,,284,70,87,6211,,0.0005,0.382,1052.0,,,
,20.8,-10.4,0.938,,288,70,88,6297,,0.0005,0.746,1074.0,,,
,21.1,-10.8,0.938,,292,70,90,6359,,0.0005,0.0847,1089.0,,,
,21.5,-11.0,0.937,,296,70,91,6436,,0.0005,0.595,1108.0,,,
,20.7,-11.2,0.936,,300,70,92,6494,,0.0005,0.359,1123.0,,,
,20.5,-11.4,0.936,,304,70,93,6581,,0.0005,0.483,1145.0,,,
,19.9,-11.4,0.935,,308,70,94,6642,,0.0005,0.473,1160.0,,,
,19.6,-11.4,0.934,,312,69,95,6699,,0.0005,1.05,1174.0,,,
,19.1,-11.8,0.934,,316,69,96,6749,,0.0005,0.365,1187.0,,,
,19.0,-11.8,0.933,,320,69,98,6820,,0.0005,0.968,1204.0,,,
,18.2,-11.8,0.933,,324,69,99,6859,,0.0005,0.232,1214.0,,,
,19.6,-12.0,0.931,,328,70,100,7055,,0.0005,0.249,1263.0,,,
,20.2,-12.2,0.93,,332,70,101,7152,,0.0005,0.804,1287.0,,,
,21.4,-12.6,0.928,,336,70,103,7310,,0.0005,0.428,1327.0,,,
,21.2,-12.6,0.928,,340,70,104,7321,,0.0005,0.7,1330.0,,,
,20.1,-12.4,0.928,,344,69,105,7348,,0.0005,0.338,1336.0,,,
,20.2,-12.4,0.927,,348,69,106,7434,,0.0005,0.39,1358.0,,,
,20.0,-12.8,0.926,,352,69,107,7502,,0.0005,0.345,1375.0,,,
,20.5,-12.6,0.925,,356,69,108,7625,,0.0005,0.255,1406.0,,,
,20.7,-13.0,0.924,,360,69,110,7709,,0.0005,0.411,1427.0,,,
,19.6,-13.2,0.924,,364,69,111,7750,,0.0005,0.332,1437.0,,,
,20.4,-13.2,0.923,,368,69,112,7848,,0.0005,0.548,1461.0,,,
,19.4,-13.2,0.923,,372,69,113,7897,,0.0005,0.632,1474.0,,,
,19.0,-13.2,0.922,,376,69,114,7934,,0.0005,0.88,1483.0,,,
,18.4,-13.6,0.922,,380,69,115,8007,,0.0005,0.535,1501.0,,,
,18.8,-13.8,0.921,,384,69,116,8088,,0.0005,0.537,1521.0,,,
,18.5,-13.8,0.92,,388,69,118,8151,,0.0005,0.704,1537.0,,,
,18.4,-13.8,0.92,,392,68,119,8196,,0.0005,0.308,1548.0,,,
,18.5,-13.6,0.919,,396,68,120,8287,,0.0005,0.586,1571.0,,,
,19.2,-13.6,0.918,,400,69,121,8410,,0.0005,0.676,1602.0,,,
,19.1,-13.2,0.917,,404,69,122,8496,,0.0005,0.836,1623.0,,,
,19.1,-13.4,0.916,,408,69,123,8552,,0.0005,0.375,1637.0,,,
,19.4,-13.6,0.915,,412,68,125,8634,,0.0005,0.725,1658.0,,,
,19.6,-13.4,0.915,,416,68,126,8709,,0.0005,0.433,1677.0,,,
,19.7,-13.4,0.914,,420,68,127,8790,,0.0005,0.868,1697.0,,,
,19.8,-13.2,0.913,,424,68,128,8838,,0.0005,0.468,1709.0,,,
,18.6,-13.2,0.913,,428,68,129,8915,,0.0005,1.08,1728.0,,,
,18.4,-13.0,0.912,,432,68,130,8987,,0.0005,0.217,1746.0,,,
,17.4,-13.0,0.911,,436,68,132,9054,,0.0005,0.274,1763.0,,,
,18.8,-13.0,0.91,,440,68,133,9201,,0.0005,0.954,1800.0,,,
,19.2,-12.8,0.909,,444,68,134,9273,,0.0005,0.194,1818.0,,,
,20.0,-12.6,0.908,,448,69,136,9437,,0.0005,0.425,1859.0,,,
,20.2,-12.6,0.907,,452,69,137,9523,,0.0005,0.417,1880.0,,,
,19.8,-12.8,0.906,,456,69,138,9602,,0.0005,0.451,1900.0,,,
,19.2,-12.8,0.906,,460,69,139,9629,,0.0005,0.602,1907.0,,,
,19.3,-12.8,0.905,,464,68,140,9682,,0.0005,0.58,1920.0,,,
,19.2,-12.8,0.904,,468,68,141,9766,,0.0005,0.985,1941.0,,,
,20.1,-12.8,0.903,,472,69,143,9911,,0.0005,0.786,1977.0,,,
,20.6,-12.8,0.902,,476,69,144,9989,,0.0005,0.394,1997.0,0.0,0.0,0.0
,20.8,-12.4,0.901,,480,69,145,10090,,0.0005,0.483,2022.0,,,
,21.3,-12.2,0.9,,484,69,146,10214,,0.0005,0.507,2053.0,,,
,22.0,-12.2,0.899,,488,69,148,10349,,0.0005,0.596,2087.0,,,
,22.1,-12.4,0.898,,492,69,149,10406,,0.0005,0.588,2101.0,,,
,21.8,-12.4,0.897,,496,69,150,10466,,0.0005,0.387,2116.0,,,
,20.9,-12.4,0.897,,500,69,151,10500,,0.0005,0.561,2124.0,,,
,20.6,-12.6,0.897,,504,69,152,10559,,0.0005,0.401,2139.0,,,
,20.8,-12.4,0.896,,508,69,153,10627,,0.0005,0.572,2156.0,,,
,21.2,-12.2,0.895,,512,69,155,10754,,0.0005,0.669,2188.0,,,
,21.4,-12.4,0.894,,516,69,156,10846,,0.0005,0.384,2211.0,,,
,21.0,-12.4,0.893,,520,69,157,10893,,0.0005,0.237,2223.0,,,
,21.3,-12.6,0.893,,524,69,158,10967,,0.0005,0.564,2241.0,,,
,20.8,-12.6,0.892,,528,68,159,10998,,0.0005,0.304,2249.0,,,
,20.4,-12.6,0.892,,532,68,160,11022,,0.0005,0.269,2255.0,,,
,20.5,-12.2,0.891,,536,68,162,11104,,0.0005,0.585,2275.0,,,
,19.9,-12.0,0.89,,540,68,163,11192,,0.0005,0.358,2297.0,,,
,19.6,-12.0,0.89,,544,68,164,11234,,0.0005,0.641,2308.0,,,
,18.7,-12.0,0.889,,548,68,165,11306,,0.0005,1.09,2326.0,,,
,18.8,-12.2,0.888,,552,68,167,11404,,0.0005,0.882,2350.0,,,
,19.0,-12.0,0.887,,556,68,168,11506,,0.0005,0.444,2376.0,,,
,19.6,-12.0,0.886,,560,68,169,11588,,0.0005,0.307,2396.0,,,
,19.6,-12.0,0.886,,564,68,170,11641,,0.0005,0.333,2410.0,,,
,19.5,-12.0,0.885,,568,68,172,11720,,0.0005,0.345,2429.0,,,
,18.7,-12.0,0.885,,572,68,173,11780,,0.0005,0.284,2444.0,,,
,19.2,-12.4,0.883,,576,68,174,11908,,0.0005,0.702,2476.0,,,
,19.3,-12.6,0.882,,580,68,175,12019,,0.0005,0.718,2504.0,,,
,19.4,-12.6,0.881,,584,68,177,12158,,0.0005,0.534,2539.0,,,
,19.5,-12.6,0.879,,588,68,178,12298,,0.0005,0.464,2574.0,,,
,19.9,-12.6,0.878,,592,68,180,12398,,0.0005,0.513,2599.0,,,
,20.4,-12.8,0.877,,596,68,181,12506,,0.0005,0.457,2626.0,,,
,20.6,-12.8,0.877,,600,68,182,12560,,0.0005,0.422,2639.0,,,
,21.1,-12.8,0.876,,604,68,184,12667,,0.0005,0.511,2666.0,,,
,21.2,-12.8,0.875,,608,68,185,12746,,0.0005,0.709,2686.0,,,
,20.8,-12.8,0.874,,612,68,186,12830,,0.0005,0.377,2707.0,,,
,21.3,-12.8,0.873,,616,69,188,12980,,0.0005,0.273,2744.0,,,
,22.1,-13.0,0.872,,620,69,189,13098,,0.0005,0.103,2774.0,,,
,22.4,-13.0,0.871,,624,69,190,13212,,0.0005,0.588,2802.0,,,
,23.0,-13.0,0.87,,628,69,192,13296,,0.0005,0.367,2823.0,,,
,23.3,-13.0,0.869,,632,69,193,13348,,0.0005,0.576,2836.0,,,
,23.4,-12.8,0.868,,636,69,194,13439,,0.0005,0.427,2859.0,,,
,23.0,-13.0,0.868,,640,68,195,13490,,0.0005,0.831,2872.0,,,
,23.1,-13.2,0.867,,644,68,196,13546,,0.0005,0.417,2886.0,,,
,23.7,-13.4,0.866,,648,68,198,13676,,0.0005,0.223,2918.0,,,
,24.3,-13.2,0.864,,652,69,199,13837,,0.0005,0.316,2959.0,,,
,23.9,-13.3,0.864,,656,69,200,13898,,0.0005,0.702,2974.0,,,
,23.7,-13.3,0.863,,660,69,202,13959,,0.0005,0.309,2989.0,,,
,25.4,-13.1,0.861,,664,69,203,14177,,0.0005,0.818,3044.0,,,
,25.8,-13.1,0.86,,668,69,205,14299,,0.0005,0.426,3074.0,,,
,26.1,-13.1,0.859,,672,69,206,14394,,0.0005,0.375,3098.0,,,
,26.1,-12.9,0.858,,676,69,208,14523,,0.0005,0.563,3130.0,,,
,26.0,-12.9,0.857,,680,69,209,14619,,0.0005,0.384,3154.0,,,
,25.7,-13.1,0.856,,684,69,210,14731,,0.0005,0.44,3182.0,,,
,25.1,-13.1,0.855,,688,69,212,14811,,0.0005,0.372,3202.0,,,
,25.3,-12.7,0.854,,692,69,213,14930,,0.0005,0.487,3232.0,,,
,25.1,-12.5,0.853,,696,69,214,15020,,0.0005,0.395,3254.0,,,
