rollout/,ep_len_mean,ep_rew_mean,exploration_rate,time/,episodes,fps,time_elapsed,total_timesteps,train/,learning_rate,loss,n_updates,avg_fruit,avg_decayfruit,avg_enemyfruit
,25.4,-12.5,0.852,,700,69,215,15104,,0.0005,0.184,3275.0,,,
,26.4,-12.9,0.85,,704,70,217,15302,,0.0005,0.184,3325.0,,,
,27.4,-12.9,0.848,,708,70,219,15491,,0.0005,0.342,3372.0,,,
,27.2,-12.9,0.848,,712,70,220,15549,,0.0005,0.573,3387.0,,,
,26.4,-12.7,0.847,,716,70,221,15618,,0.0005,0.595,3404.0,,,
,26.1,-12.5,0.846,,720,70,222,15710,,0.0005,0.52,3427.0,,,
,25.8,-12.5,0.845,,724,70,223,15793,,0.0005,0.504,3448.0,,,
,27.4,-12.7,0.843,,728,71,225,16041,,0.0005,0.667,3510.0,,,
,28.1,-12.7,0.842,,732,71,227,16163,,0.0005,0.593,3540.0,,,
,28.0,-12.9,0.841,,736,71,228,16239,,0.0005,0.392,3559.0,,,
,28.4,-12.9,0.84,,740,71,229,16334,,0.0005,0.338,3583.0,,,
,28.7,-12.8,0.839,,744,71,230,16412,,0.0005,0.648,3602.0,,,
,28.5,-12.5,0.838,,748,71,232,16528,,0.0005,0.576,3631.0,,,
,27.7,-12.3,0.837,,752,71,233,16608,,0.0005,0.361,3651.0,,,
,27.7,-12.1,0.837,,756,71,234,16667,,0.0005,0.484,3666.0,,,
,27.7,-12.1,0.836,,760,70,235,16729,,0.0005,0.165,3682.0,,,
,26.2,-12.0,0.835,,764,70,236,16799,,0.0005,0.8,3699.0,,,
,26.4,-11.8,0.834,,768,71,238,16937,,0.0005,0.428,3734.0,,,
,26.7,-12.1,0.833,,772,71,239,17068,,0.0005,0.576,3766.0,,,
,26.0,-11.8,0.832,,776,71,240,17124,,0.0005,0.346,3780.0,,,
,26.1,-11.8,0.831,,780,71,242,17231,,0.0005,0.215,3807.0,,,
,26.1,-11.6,0.83,,784,71,243,17338,,0.0005,0.933,3834.0,,,
,26.0,-11.6,0.829,,788,71,244,17412,,0.0005,0.466,3852.0,,,
,25.4,-11.8,0.829,,792,71,245,17475,,0.0005,0.714,3868.0,,,
,25.0,-11.8,0.828,,796,70,247,17524,,0.0005,0.673,3880.0,,,
,24.4,-11.8,0.828,,800,70,248,17548,,0.0005,0.414,3886.0,,,
,23.5,-11.2,0.827,,804,70,249,17651,,0.0005,0.509,3912.0,,,
,22.1,-11.2,0.826,,808,70,250,17706,,0.0005,0.97,3926.0,,,
,22.8,-11.2,0.825,,812,70,251,17833,,0.0005,0.775,3958.0,,,
,22.7,-11.2,0.825,,816,70,252,17891,,0.0005,0.449,3972.0,,,
,22.4,-11.2,0.824,,820,70,254,17951,,0.0005,0.418,3987.0,,,
,22.5,-11.6,0.823,,824,70,255,18046,,0.0005,0.201,4011.0,,,
,21.0,-11.6,0.822,,828,70,256,18138,,0.0005,0.588,4034.0,,,
,20.1,-11.6,0.822,,832,70,257,18175,,0.0005,0.495,4043.0,,,
,19.7,-11.6,0.822,,836,70,258,18213,,0.0005,0.416,4053.0,,,
,19.3,-11.6,0.821,,840,70,259,18260,,0.0005,0.823,4064.0,,,
,19.8,-11.8,0.82,,844,70,260,18387,,0.0005,0.531,4096.0,,,
,19.8,-12.2,0.819,,848,70,262,18503,,0.0005,0.812,4125.0,,,
,19.5,-12.4,0.818,,852,70,263,18558,,0.0005,0.807,4139.0,,,
,19.7,-12.4,0.817,,856,70,264,18640,,0.0005,0.841,4159.0,,,
,20.3,-12.6,0.816,,860,70,265,18758,,0.0005,0.411,4189.0,,,
,20.2,-12.6,0.816,,864,70,267,18821,,0.0005,0.305,4205.0,,,
,20.8,-12.6,0.814,,868,70,268,19016,,0.0005,0.501,4253.0,,,
,19.9,-12.4,0.813,,872,70,269,19055,,0.0005,0.857,4263.0,,,
,20.1,-12.6,0.812,,876,70,270,19133,,0.0005,0.422,4283.0,,,
,20.0,-12.6,0.812,,880,70,272,19234,,0.0005,0.208,4308.0,,,
,19.7,-12.6,0.811,,884,70,273,19305,,0.0005,0.986,4326.0,,,
,20.8,-12.6,0.809,,888,70,275,19493,,0.0005,0.0854,4373.0,,,
,21.1,-12.4,0.808,,892,70,276,19582,,0.0005,0.646,4395.0,,,
,21.0,-12.4,0.808,,896,70,277,19623,,0.0005,0.403,4405.0,,,
,22.2,-12.4,0.806,,900,70,278,19770,,0.0005,0.133,4442.0,,,
,21.6,-12.6,0.806,,904,70,279,19815,,0.0005,0.404,4453.0,,,
,22.5,-12.6,0.804,,908,70,281,19956,,0.0005,0.326,4488.0,0.0,0.0,0.0
,21.9,-12.6,0.804,,912,70,282,20019,,0.0005,0.477,4504.0,,,
,21.9,-12.4,0.803,,916,70,283,20086,,0.0005,0.216,4521.0,,,
,22.7,-12.4,0.802,,920,70,285,20221,,0.0005,0.616,4555.0,,,
,23.0,-12.2,0.801,,924,71,286,20345,,0.0005,1.18,4586.0,,,
,23.0,-11.8,0.8,,928,71,287,20439,,0.0005,0.619,4609.0,,,
,22.9,-11.8,0.799,,932,70,288,20469,,0.0005,0.413,4617.0,,,
,23.3,-11.8,0.799,,936,70,289,20543,,0.0005,0.507,4635.0,,,
,23.9,-11.8,0.798,,940,70,291,20650,,0.0005,0.295,4662.0,,,
,23.3,-11.8,0.797,,944,70,292,20717,,0.0005,0.311,4679.0,,,
,22.7,-11.6,0.796,,948,70,293,20773,,0.0005,0.439,4693.0,,,
,23.4,-11.6,0.795,,952,70,294,20898,,0.0005,0.516,4724.0,,,
,24.2,-12.0,0.794,,956,71,296,21061,,0.0005,0.407,4765.0,,,
,23.5,-11.8,0.793,,960,71,297,21111,,0.0005,0.514,4777.0,,,
,23.8,-12.0,0.792,,964,71,298,21196,,0.0005,0.334,4798.0,,,
,22.2,-12.0,0.792,,968,70,299,21235,,0.0005,0.241,4808.0,,,
,22.5,-12.0,0.791,,972,70,300,21308,,0.0005,0.308,4826.0,,,
,21.9,-11.8,0.791,,976,70,301,21323,,0.0005,0.643,4830.0,,,
,21.5,-11.8,0.79,,980,70,302,21386,,0.0005,0.76,4846.0,,,
,21.4,-12.0,0.79,,984,70,304,21445,,0.0005,0.6,4861.0,,,
,20.1,-12.0,0.789,,988,70,305,21503,,0.0005,0.815,4875.0,,,
,19.6,-12.2,0.789,,992,70,306,21544,,0.0005,0.286,4885.0,,,
,20.5,-11.6,0.788,,996,70,307,21676,,0.0005,0.558,4918.0,,,
,20.8,-11.8,0.786,,1000,70,309,21850,,0.0005,0.548,4962.0,,,
,20.9,-11.8,0.785,,1004,70,310,21908,,0.0005,0.354,4976.0,,,
,20.4,-11.8,0.784,,1008,70,311,21996,,0.0005,0.578,4998.0,,,
,21.6,-12.4,0.783,,1012,70,313,22177,,0.0005,0.127,5044.0,,,
,22.0,-12.6,0.782,,1016,70,314,22286,,0.0005,0.579,5071.0,,,
,22.0,-12.6,0.78,,1020,70,316,22420,,0.0005,0.403,5104.0,,,
,22.1,-12.4,0.779,,1024,71,317,22550,,0.0005,0.409,5137.0,,,
,21.8,-12.6,0.778,,1028,71,318,22622,,0.0005,0.688,5155.0,,,
,22.3,-12.6,0.778,,1032,70,319,22702,,0.0005,1.02,5175.0,,,
,22.2,-12.6,0.777,,1036,70,320,22760,,0.0005,0.381,5189.0,,,
,22.0,-12.4,0.776,,1040,70,322,22850,,0.0005,0.794,5212.0,,,
,21.9,-12.4,0.776,,1044,70,323,22906,,0.0005,0.123,5226.0,,,
,22.6,-12.0,0.774,,1048,70,324,23036,,0.0005,0.273,5258.0,,,
,21.8,-12.0,0.774,,1052,70,325,23080,,0.0005,0.466,5269.0,,,
,21.4,-11.8,0.773,,1056,70,326,23198,,0.0005,0.646,5299.0,,,
,21.8,-11.8,0.772,,1060,70,328,23288,,0.0005,0.322,5321.0,,,
,21.3,-11.6,0.771,,1064,70,329,23322,,0.0005,0.43,5330.0,,,
,22.1,-11.8,0.77,,1068,70,330,23446,,0.0005,0.501,5361.0,,,
,21.7,-11.8,0.77,,1072,70,331,23481,,0.0005,0.75,5370.0,,,
,22.0,-11.8,0.769,,1076,70,332,23525,,0.0005,0.507,5381.0,,,
,22.3,-11.8,0.769,,1080,70,333,23620,,0.0005,0.234,5404.0,,,
,23.1,-11.8,0.767,,1084,70,335,23755,,0.0005,0.619,5438.0,,,
,23.1,-12.0,0.767,,1088,70,336,23810,,0.0005,0.328,5452.0,,,
,23.0,-12.3,0.766,,1092,70,337,23846,,0.0005,0.32,5461.0,,,
,22.9,-13.1,0.765,,1096,70,338,23968,,0.0005,0.419,5491.0,,,
,21.8,-12.9,0.765,,1100,70,339,24030,,0.0005,0.643,5507.0,,,
,21.6,-12.9,0.764,,1104,70,340,24069,,0.0005,0.507,5517.0,,,
,21.5,-12.9,0.763,,1108,70,342,24144,,0.0005,0.491,5535.0,,,
,20.6,-12.3,0.763,,1112,70,343,24234,,0.0005,0.162,5558.0,,,
,20.2,-12.3,0.762,,1116,70,344,24304,,0.0005,0.614,5575.0,,,
,20.5,-12.5,0.76,,1120,70,345,24470,,0.0005,0.435,5617.0,,,
,20.7,-12.5,0.759,,1124,70,347,24616,,0.0005,0.771,5653.0,,,
,20.3,-12.5,0.758,,1128,70,348,24651,,0.0005,0.445,5662.0,,,
,19.9,-12.5,0.758,,1132,70,349,24690,,0.0005,0.427,5672.0,,,
,19.9,-12.3,0.757,,1136,70,350,24747,,0.0005,0.405,5686.0,,,
,19.4,-12.5,0.757,,1140,70,351,24794,,0.0005,0.88,5698.0,,,
,20.1,-12.7,0.756,,1144,70,352,24917,,0.0005,0.508,5729.0,,,
,19.4,-13.1,0.755,,1148,70,353,24975,,0.0005,0.126,5743.0,,,
,19.5,-13.1,0.755,,1152,70,354,25032,,0.0005,0.714,5757.0,,,
,19.3,-13.1,0.754,,1156,70,356,25128,,0.0005,0.589,5781.0,,,
,19.0,-13.1,0.753,,1160,70,357,25186,,0.0005,0.525,5796.0,,,
,19.3,-13.1,0.753,,1164,70,358,25252,,0.0005,0.176,5812.0,,,
,19.0,-13.1,0.752,,1168,70,359,25346,,0.0005,0.352,5836.0,,,
,21.7,-13.5,0.749,,1172,70,361,25648,,0.0005,0.904,5911.0,,,
,22.4,-13.7,0.747,,1176,71,362,25766,,0.0005,0.4,5941.0,,,
,22.3,-13.7,0.747,,1180,71,364,25851,,0.0005,0.691,5962.0,,,
,21.6,-13.7,0.746,,1184,70,365,25911,,0.0005,0.794,5977.0,,,
,21.7,-13.3,0.745,,1188,70,366,25979,,0.0005,0.257,5994.0,,,
,22.4,-13.0,0.744,,1192,70,367,26091,,0.0005,0.25,6022.0,,,
,22.2,-13.0,0.743,,1196,71,368,26193,,0.0005,0.843,6048.0,,,
,23.2,-13.0,0.742,,1200,71,370,26347,,0.0005,0.521,6086.0,,,
,23.9,-13.2,0.741,,1204,71,371,26455,,0.0005,0.631,6113.0,,,
,24.4,-13.2,0.739,,1208,71,372,26587,,0.0005,0.583,6146.0,,,
,23.9,-13.2,0.739,,1212,71,373,26620,,0.0005,0.857,6154.0,,,
,25.5,-13.0,0.737,,1216,71,375,26850,,0.0005,0.641,6212.0,,,
,24.9,-12.8,0.736,,1220,71,376,26956,,0.0005,0.523,6238.0,,,
,24.3,-12.8,0.735,,1224,71,378,27045,,0.0005,0.651,6261.0,,,
,24.8,-12.8,0.734,,1228,71,379,27128,,0.0005,0.743,6281.0,,,
,24.6,-12.8,0.734,,1232,71,380,27147,,0.0005,0.713,6286.0,,,
,24.9,-13.0,0.733,,1236,71,381,27240,,0.0005,0.778,6309.0,,,
,25.3,-13.0,0.732,,1240,71,382,27323,,0.0005,0.642,6330.0,,,
,24.6,-12.6,0.732,,1244,71,383,27375,,0.0005,0.503,6343.0,,,
,24.8,-12.6,0.731,,1248,71,385,27457,,0.0005,0.524,6364.0,,,
,25.7,-12.8,0.73,,1252,71,386,27598,,0.0005,0.449,6399.0,,,
,25.2,-12.8,0.729,,1256,71,387,27644,,0.0005,0.725,6410.0,,,
,26.5,-12.9,0.727,,1260,71,389,27835,,0.0005,0.449,6458.0,,,
,26.2,-13.1,0.727,,1264,71,390,27873,,0.0005,0.588,6468.0,,,
,26.4,-13.7,0.726,,1268,71,391,27987,,0.0005,0.216,6496.0,,,
,24.2,-13.2,0.725,,1272,71,392,28069,,0.0005,0.634,6517.0,,,
,23.4,-13.0,0.725,,1276,71,393,28105,,0.0005,0.556,6526.0,,,
,23.0,-13.2,0.724,,1280,71,394,28148,,0.0005,0.494,6536.0,,,
,23.2,-13.2,0.723,,1284,71,396,28233,,0.0005,0.347,6558.0,,,
,24.6,-13.4,0.721,,1288,71,397,28441,,0.0005,0.742,6610.0,,,
,24.2,-13.4,0.721,,1292,71,398,28508,,0.0005,0.383,6626.0,,,
,23.6,-13.2,0.72,,1296,71,400,28548,,0.0005,0.413,6636.0,,,
,23.8,-13.2,0.719,,1300,71,401,28722,,0.0005,0.333,6680.0,,,
,23.4,-13.0,0.718,,1304,71,402,28791,,0.0005,0.648,6697.0,,,
,23.0,-13.2,0.717,,1308,71,404,28889,,0.0005,0.484,6722.0,,,
,23.3,-13.2,0.716,,1312,71,405,28948,,0.0005,0.931,6736.0,,,
,21.7,-13.4,0.716,,1316,71,406,29019,,0.0005,0.208,6754.0,,,
,22.5,-13.4,0.714,,1320,71,407,29202,,0.0005,0.269,6800.0,,,
,21.9,-13.4,0.714,,1324,71,408,29234,,0.0005,0.545,6808.0,,,
,22.1,-13.2,0.713,,1328,71,410,29336,,0.0005,0.466,6833.0,,,
,22.8,-13.4,0.712,,1332,71,411,29425,,0.0005,0.333,6856.0,,,
