rollout/,ep_len_mean,ep_rew_mean,time/,fps,iterations,time_elapsed,total_timesteps,train/,approx_kl,clip_fraction,clip_range,entropy_loss,explained_variance,learning_rate,loss,n_updates,policy_gradient_loss,value_loss
,48.3,5.22,,89,23,523,47104,,0.00764183,0.0678,0.2,-0.673,0.155,0.0003,6.26,220.0,-0.00937,10.7
,50.3,5.81,,90,24,543,49152,,0.0086028725,0.079,0.2,-0.658,0.145,0.0003,4.96,230.0,-0.0107,12.1
,51.7,6.03,,90,25,563,51200,,0.007075675,0.0875,0.2,-0.648,0.193,0.0003,3.62,240.0,-0.00862,12.0
,56.5,6.99,,91,26,580,53248,,0.008496374,0.0813,0.2,-0.657,0.0367,0.0003,5.42,250.0,-0.0106,11.3
,60.7,7.68,,92,27,598,55296,,0.0072929887,0.0794,0.2,-0.641,0.212,0.0003,4.96,260.0,-0.0108,11.8
,66.3,9.04,,93,28,614,57344,,0.0072986027,0.0681,0.2,-0.644,0.199,0.0003,4.9,270.0,-0.0107,13.3
,60.7,8.61,,93,29,632,59392,,0.00894317,0.074,0.2,-0.611,0.0427,0.0003,4.82,280.0,-0.0105,12.0
,53.0,7.79,,94,30,651,61440,,0.0057953065,0.0676,0.2,-0.606,0.0846,0.0003,7.58,290.0,-0.00723,14.1
,59.4,9.82,,95,31,667,63488,,0.007104311,0.0867,0.2,-0.59,0.258,0.0003,5.62,300.0,-0.00833,12.5
,61.7,10.5,,95,32,685,65536,,0.0068738274,0.064,0.2,-0.583,0.0957,0.0003,4.91,310.0,-0.00575,15.8
,69.8,13.0,,96,33,701,67584,,0.0048304363,0.0628,0.2,-0.555,0.00259,0.0003,8.16,320.0,-0.00604,18.7
,67.5,13.1,,97,34,717,69632,,0.0087920595,0.0729,0.2,-0.571,0.0719,0.0003,7.63,330.0,-0.00698,14.4
,69.2,13.1,,97,35,734,71680,,0.007089191,0.0585,0.2,-0.561,0.127,0.0003,4.32,340.0,-0.00512,14.0
,72.4,13.9,,98,36,749,73728,,0.007429053,0.0542,0.2,-0.563,0.277,0.0003,8.57,350.0,-0.00674,14.7
,71.4,13.9,,99,37,764,75776,,0.004667899,0.0451,0.2,-0.549,0.03,0.0003,9.12,360.0,-0.00416,17.2
,74.9,15.6,,99,38,780,77824,,0.0059875073,0.0563,0.2,-0.512,0.0961,0.0003,7.33,370.0,-0.00682,18.3
,72.5,15.9,,100,39,796,79872,,0.005593993,0.0467,0.2,-0.548,0.127,0.0003,7.93,380.0,-0.00813,19.8
,76.1,17.2,,100,40,812,81920,,0.006443289,0.0668,0.2,-0.53,0.159,0.0003,5.67,390.0,-0.00585,18.2
,75.4,15.9,,101,41,829,83968,,0.005459236,0.0577,0.2,-0.528,0.23,0.0003,6.47,400.0,-0.005,15.8
,79.5,16.8,,101,42,845,86016,,0.008306068,0.0762,0.2,-0.514,0.222,0.0003,9.54,410.0,-0.00631,17.1
,77.9,16.3,,102,43,863,88064,,0.007500874,0.0868,0.2,-0.505,0.315,0.0003,4.45,420.0,-0.00736,15.6
,76.9,16.1,,102,44,879,90112,,0.0063672788,0.0884,0.2,-0.493,0.0812,0.0003,12.4,430.0,-0.0109,21.8
,75.7,16.4,,102,45,896,92160,,0.00932876,0.0846,0.2,-0.48,0.144,0.0003,8.0,440.0,-0.00877,19.1
,77.5,16.6,,103,46,911,94208,,0.0060402937,0.0915,0.2,-0.472,0.0612,0.0003,6.53,450.0,-0.00635,18.5
,87.2,20.2,,103,47,925,96256,,0.006780708,0.0556,0.2,-0.489,0.0592,0.0003,9.31,460.0,-0.00754,17.4
,91.1,20.8,,104,48,941,98304,,0.010522933,0.0827,0.2,-0.459,0.0111,0.0003,2.77,470.0,-0.00453,14.3
,98.0,22.9,,105,49,955,100352,,0.00844667,0.0993,0.2,-0.462,-0.0506,0.0003,7.72,480.0,-0.0112,22.6
