rollout/,ep_len_mean,ep_rew_mean,time/,fps,iterations,time_elapsed,total_timesteps,train/,approx_kl,clip_fraction,clip_range,entropy_loss,explained_variance,learning_rate,loss,n_updates,policy_gradient_loss,value_loss
,22.4,-5.08,,67,1,30,2048,,,,,,,,,,,
,23.4,-4.83,,67,2,60,4096,,0.009170493,0.0739,0.2,-1.38,-0.00152,0.0003,0.747,10.0,-0.0104,2.67
,24.8,-4.72,,68,3,90,6144,,0.012046985,0.124,0.2,-1.36,-0.0176,0.0003,0.614,20.0,-0.0173,1.56
,30.0,-4.35,,70,4,116,8192,,0.011985872,0.171,0.2,-1.32,-0.00394,0.0003,0.809,30.0,-0.0193,1.21
,27.8,-3.61,,70,5,145,10240,,0.013774394,0.156,0.2,-1.28,-0.0835,0.0003,0.324,40.0,-0.0207,1.09
,32.4,-2.96,,72,6,170,12288,,0.013273207,0.14,0.2,-1.22,-0.0737,0.0003,0.924,50.0,-0.0164,2.34
,35.7,-2.25,,74,7,193,14336,,0.013353329,0.162,0.2,-1.18,0.108,0.0003,0.774,60.0,-0.0172,2.1
,40.1,-1.59,,76,8,214,16384,,0.010005731,0.0985,0.2,-1.12,0.106,0.0003,1.47,70.0,-0.0126,2.79
,39.4,-1.53,,77,9,237,18432,,0.0076871375,0.068,0.2,-1.08,0.0586,0.0003,0.895,80.0,-0.00933,4.18
,35.6,-1.41,,78,10,261,20480,,0.007321616,0.081,0.2,-1.09,0.136,0.0003,1.74,90.0,-0.011,3.7
,36.6,-1.31,,78,11,285,22528,,0.007931322,0.0911,0.2,-1.05,0.157,0.0003,2.18,100.0,-0.01,4.39
,40.8,-0.0183,,80,12,304,24576,,0.008540374,0.0752,0.2,-0.98,0.00599,0.0003,2.26,110.0,-0.0102,4.89
,42.9,0.915,,81,13,326,26624,,0.008025322,0.0922,0.2,-0.961,-0.0141,0.0003,2.38,120.0,-0.011,5.52
,47.3,1.82,,82,14,345,28672,,0.00792037,0.0733,0.2,-0.909,0.0122,0.0003,3.97,130.0,-0.00956,7.78
,48.5,2.95,,83,15,366,30720,,0.0059943423,0.0714,0.2,-0.887,0.184,0.0003,2.09,140.0,-0.0105,5.82
,50.4,3.96,,84,16,385,32768,,0.0071735247,0.0556,0.2,-0.871,0.119,0.0003,4.35,150.0,-0.0086,9.12
,51.8,4.37,,85,17,405,34816,,0.0064489087,0.0535,0.2,-0.841,0.0672,0.0003,4.46,160.0,-0.00882,11.4
,51.3,4.6,,86,18,424,36864,,0.005696358,0.0568,0.2,-0.797,0.0246,0.0003,4.64,170.0,-0.00898,11.1
,54.0,5.39,,87,19,442,38912,,0.004876879,0.0562,0.2,-0.784,0.0791,0.0003,4.06,180.0,-0.00792,10.3
,54.3,5.55,,88,20,462,40960,,0.007301934,0.0677,0.2,-0.733,0.039,0.0003,5.15,190.0,-0.00982,12.3
,52.5,5.04,,88,21,483,43008,,0.008392604,0.0611,0.2,-0.725,0.0578,0.0003,6.26,200.0,-0.00793,9.98
,48.5,3.91,,89,22,504,45056,,0.007968403,0.0917,0.2,-0.714,0.17,0.0003,5.13,210.0,-0.0107,11.0
