avg_fruit,avg_decayfruit,avg_enemyfruit,rollout/,ep_len_mean,ep_rew_mean,time/,fps,iterations,time_elapsed,total_timesteps,train/,approx_kl,clip_fraction,clip_range,entropy_loss,explained_variance,learning_rate,loss,n_updates,policy_gradient_loss,value_loss
0,0,0,,23.1,-9.93,,73,1,27,2048,,,,,,,,,,,
0,0,0,,22.1,-9.68,,73,2,55,4096,,0.0076953247,0.0646,0.2,-1.38,0.00633,0.0003,5.44,10.0,-0.00881,12.1
0,0,0,,24.4,-9.97,,76,3,80,6144,,0.00814381,0.0511,0.2,-1.37,0.000519,0.0003,4.63,20.0,-0.00805,7.63
0,0,0,,24.5,-9.72,,76,4,106,8192,,0.008479489,0.0706,0.2,-1.36,-0.0155,0.0003,0.742,30.0,-0.01,2.66
0,0,0,,28.1,-10.0,,78,5,130,10240,,0.0073574586,0.0408,0.2,-1.33,-0.0451,0.0003,2.43,40.0,-0.00546,4.56
0,0,0,,32.0,-9.98,,81,6,150,12288,,0.010470683,0.0863,0.2,-1.29,0.0303,0.0003,0.64,50.0,-0.0107,1.34
0,1,1,,35.0,-10.0,,83,7,171,14336,,0.00968952,0.0672,0.2,-1.26,-0.00566,0.0003,1.75,60.0,-0.00763,4.77
0,0,1,,36.6,-9.27,,85,8,190,16384,,0.005245555,0.0697,0.2,-1.23,-0.0406,0.0003,1.0,70.0,-0.00806,5.13
0,0,0,,47.4,-9.36,,89,9,205,18432,,0.0073859487,0.024,0.2,-1.2,0.00461,0.0003,6.47,80.0,-0.00374,12.4
0,0,0,,53.0,-10.1,,92,10,222,20480,,0.009215439,0.0872,0.2,-1.19,-0.0322,0.0003,0.743,90.0,-0.00887,2.42
0,0,1,,57.6,-10.6,,94,11,238,22528,,0.007219846,0.0756,0.2,-1.16,0.0406,0.0003,0.767,100.0,-0.00761,1.18
0,0,2,,67.8,-10.7,,98,12,249,24576,,0.008893258,0.118,0.2,-1.16,0.0969,0.0003,0.47,110.0,-0.0123,1.14
1,0,3,,73.4,-10.3,,101,13,261,26624,,0.009488106,0.122,0.2,-1.16,0.14,0.0003,0.455,120.0,-0.0104,1.42
0,1,0,,93.5,-10.5,,105,14,272,28672,,0.012471114,0.112,0.2,-1.12,0.0312,0.0003,1.88,130.0,-0.0114,4.69
0,0,0,,102.0,-9.3,,108,15,284,30720,,0.008468792,0.0574,0.2,-1.13,0.054,0.0003,0.309,140.0,-0.00831,2.47
0,0,2,,114.0,-9.44,,111,16,293,32768,,0.0082597695,0.0788,0.2,-1.07,-0.021,0.0003,3.76,150.0,-0.00887,9.0
