avg_fruit,avg_decayfruit,avg_enemyfruit,rollout/,ep_len_mean,ep_rew_mean,time/,fps,iterations,time_elapsed,total_timesteps,train/,approx_kl,clip_fraction,clip_range,entropy_loss,explained_variance,learning_rate,loss,n_updates,policy_gradient_loss,value_loss
0,0,0,,21.8,-11.4,,59,1,34,2048,,,,,,,,,,,
0,0,0,,22.2,-11.0,,61,2,66,4096,,0.007756681,0.065,0.2,-1.38,-0.00289,0.0003,10.4,10.0,-0.00756,24.4
0,0,0,,25.5,-11.6,,63,3,96,6144,,0.009838778,0.069,0.2,-1.37,0.0275,0.0003,4.63,20.0,-0.0127,12.0
0,0,0,,23.7,-11.1,,64,4,127,8192,,0.010088578,0.0812,0.2,-1.36,-0.0795,0.0003,2.1,30.0,-0.0141,5.43
0,0,0,,31.1,-10.1,,68,5,150,10240,,0.013731029,0.101,0.2,-1.34,-0.0297,0.0003,1.81,40.0,-0.0181,4.45
0,0,0,,30.7,-8.47,,69,6,177,12288,,0.010268921,0.107,0.2,-1.33,-0.0498,0.0003,1.34,50.0,-0.00769,9.8
0,1,0,,34.2,-8.18,,70,7,202,14336,,0.007613626,0.0528,0.2,-1.31,0.00199,0.0003,4.57,60.0,-0.00825,8.47
1,0,3,,42.3,-7.77,,74,8,219,16384,,0.012778685,0.135,0.2,-1.3,0.0538,0.0003,2.71,70.0,-0.00916,9.82
0,0,0,,58.3,-7.56,,78,9,236,18432,,0.010075828,0.112,0.2,-1.27,0.00441,0.0003,1.62,80.0,-0.0101,6.03
0,0,0,,71.3,-7.3,,80,10,253,20480,,0.013904751,0.0981,0.2,-1.27,-0.0803,0.0003,1.85,90.0,-0.0049,4.17
0,0,0,,80.7,-7.67,,83,11,269,22528,,0.010723889,0.108,0.2,-1.24,0.0415,0.0003,8.32,100.0,-0.00775,6.78
0,0,2,,92,-7.54,,87,12,281,24576,,0.009686013,0.0868,0.2,-1.21,-0.0451,0.0003,1.02,110.0,-0.00727,8.53
0,0,2,,99.6,-7.17,,90,13,294,26624,,0.007555956,0.0609,0.2,-1.21,-0.0568,0.0003,0.733,120.0,-0.00511,2.92
0,0,0,,104,-7.6,,92,14,311,28672,,0.009293912,0.126,0.2,-1.19,-0.0296,0.0003,0.454,130.0,-0.0109,1.72
0,1,0,,103,-7.73,,93,15,329,30720,,0.00850594,0.0815,0.2,-1.14,0.0535,0.0003,1.06,140.0,-0.00814,5.32
0,0,0,,111,-6.86,,95,16,343,32768,,0.00819468,0.0584,0.2,-1.12,0.0333,0.0003,5.9,150.0,-0.00665,12.1
